Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
CrowdStrike,https://www.crunchbase.com/organization/crowdstrike,"Cyber Security, Machine Learning, Network Security, SaaS, Security","Sunnyvale, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2011-01-01,year,2019-06-12,day,2018-06-19,200000000,USD,200000000,Series E,200000000,USD,200000000,IPO,"Accel, General Atlantic, IVP (Institutional Venture Partners), March Capital Partners, Warburg Pincus",10
Cylance,https://www.crunchbase.com/organization/cylance,"Artificial Intelligence, Consulting, Cyber Security, Enterprise Software, Machine Learning, Network Security, Penetration Testing","Irvine, California, United States","Greater Los Angeles Area, West Coast, Western US",2012-07-04,day,2018-11-16,day,2018-06-20,120000000,USD,120000000,Series E,120000000,USD,120000000,M&A,"Blackstone Group, Dell Technologies Capital, Insight Partners, Khosla Ventures, Kohlberg Kravis Roberts",13
Ripple,https://www.crunchbase.com/organization/ripple-labs,"Blockchain, Cryptocurrency, Financial Services, FinTech, Internet, Payments","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2012-01-01,year,,,2018-02-13,,,,Series B,,,,Early Stage Venture,"Accenture, Andreessen Horowitz, Blockchain Capital, CRCM Ventures, Lightspeed Venture Partners",29
Coinsquare,https://www.crunchbase.com/organization/coinsquare,"Bitcoin, Blockchain, Cryptocurrency, Financial Services, FinTech, Trading Platform","Toronto, Ontario, Canada",Great Lakes,2014-01-01,year,,,2018-02-08,36000000,CAD,28595098,Series B,36000000,CAD,28595098,Early Stage Venture,"Canaccord Genuity Group, Riot Blockchain",2
Agari,https://www.crunchbase.com/organization/agari-data,"Cyber Security, Fraud Detection, Network Security, SaaS, Security","Foster City, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2009-01-01,year,,,2018-06-21,40000000,USD,40000000,Series E,40000000,USD,40000000,Late Stage Venture,"Battery Ventures, First Round Capital, Goldman Sachs, Norwest Venture Partners, Scale Venture Partners",9
Republic,https://www.crunchbase.com/organization/republic-co,"Blockchain, Crowdfunding, Cryptocurrency, Finance, Venture Capital","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2016-07-01,month,,,2018-06-28,,,,Initial Coin Offering,,,,,"Binance, David Lam, East Chain Co., FBG Capital, ZhenFund",6
SparkCognition,https://www.crunchbase.com/organization/sparkcognition,"Analytics, Artificial Intelligence, Cyber Security, Machine Learning, Software","Austin, Texas, United States",Southern US,2013-01-01,year,,,2018-02-20,24000000,USD,24000000,Series B,24000000,USD,24000000,Early Stage Venture,"Boeing HorizonX Ventures, Energize Ventures, The Boeing Company, US Department of Energy, Verizon Ventures",11
BitPay,https://www.crunchbase.com/organization/bitpay,"Bitcoin, Finance, FinTech, Payments, Peer to Peer","Atlanta, Georgia, United States","Greater Atlanta Area, East Coast, Southern US",2011-05-01,day,,,2018-04-02,10000000,USD,10000000,Series B,10000000,USD,10000000,Early Stage Venture,"Felicis Ventures, Founders Fund, Index Ventures, Menlo Ventures, SeedInvest",27
Kenna Security,https://www.crunchbase.com/organization/risk-io,"SaaS, Security, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2010-01-01,year,,,2018-03-27,25000000,USD,25000000,Series C,25000000,USD,25000000,Late Stage Venture,"Bessemer Venture Partners, Costanoa Ventures, OurCrowd, PeakSpan Capital, U.S. Venture Partners (USVP)",7
Anomali,https://www.crunchbase.com/organization/threatstream,"Analytics, Cyber Security, Network Security, Open Source, Security","Redwood City, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2013-01-01,year,,,2018-01-17,40000000,USD,40000000,Series D,40000000,USD,40000000,Late Stage Venture,"Deutsche Telekom Capital Partners, General Catalyst, GV, IVP (Institutional Venture Partners), Telstra Ventures",11
Bugcrowd,https://www.crunchbase.com/organization/bugcrowd,"Crowdsourcing, Cyber Security, Penetration Testing, Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2012-09-01,day,,,2018-03-01,26000000,USD,26000000,Series C,26000000,USD,26000000,Late Stage Venture,"Blackbird Ventures (Australia), Costanoa Ventures, Industry Ventures, Partech, Salesforce Ventures",14
Telegram Messenger,https://www.crunchbase.com/organization/telegram-messenger,"Apps, Cyber Security, Desktop Apps, Messaging, Mobile, Mobile Apps, Privacy, Security, Social Media","London, England, United Kingdom",European Union (EU),2013-08-14,day,,,2018-03-29,850000000,USD,850000000,Initial Coin Offering,850000000,USD,850000000,,"Alexis Berthoud, Concentric, Dalma Capital, O.D. Kobo",4
Cofense,https://www.crunchbase.com/organization/phishme,"Cyber Security, Enterprise Software, Security","Leesburg, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",2011-01-01,year,2018-02-26,day,2018-02-23,,,,Venture - Series Unknown,,,,M&A,"Aldrich Capital Partners, Bessemer Venture Partners, Paladin Capital Group, Telstra Ventures",4
StackRox,https://www.crunchbase.com/organization/stackrox,"Artificial Intelligence, Cloud Computing, Cyber Security, Enterprise Software, Information Technology, Machine Learning, Security, Software","Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2014-11-01,month,,,2018-04-10,25000000,USD,25000000,Series B,25000000,USD,25000000,Early Stage Venture,"Amplify Partners, Avalon Ventures, Redpoint, Sequoia Capital",4
BitSight,https://www.crunchbase.com/organization/bitsight,"Cyber Security, Risk Management, Security","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",2011-01-01,year,,,2018-06-28,60000000,USD,60000000,Series D,60000000,USD,60000000,Late Stage Venture,"Comcast Ventures, GGV Capital, Menlo Ventures, National Science Foundation, Warburg Pincus",13
